feature,importance,importance_sd
12.Toán CN,0.324733624130981,0.018841000588114866
11.Toán CN,0.30330541528774974,0.024738473308875963
11.Ngoại ngữ HK I,0.08575126628565251,0.005424075565568129
12.Toán HK I,0.07536394990031141,0.011128813779619755
gioi_tinh,0.061026249550602076,0.0036626459513911633
11.Điểm tổng kết HK I,0.05900277203519444,0.008387114041660775
12.Điểm tổng kết HK II,0.057746249478224244,0.007789776430884301
11.Vật lí CN,0.057081133606297386,0.008780521997822973
12.Hóa học HK II,0.05536111077271144,0.008755117194902181
10.Toán CN,0.05398760092902215,0.010401080191730685
kv_KV2_NT,0.052100577164624795,0.007715458396223025
10.Văn HK I,0.04831449921830107,0.004528761453513204
10.Hóa học HK I,0.04637230778672148,0.007311529375779789
12.Ngoại ngữ HK II,0.039495264286325237,0.005541432308270088
10.Ngoại ngữ CN,0.03855673009101039,0.008724688666826127
12.Điểm tổng kết HK I,0.03314968219487539,0.006601682052242634
11.Hóa học HK I,0.032891846714657544,0.004169802873037465
kv_KV1,0.030540727000163415,0.005320293789449565
10.Ngoại ngữ HK II,0.028502541569836382,0.0073736330533390945
10.Hóa học HK II,0.028080697031115775,0.008484947362889165
10.Sinh học HK I,0.02787763623568935,0.0035776363835466865
10.GDCD HK I,0.02611106341312599,0.007586803052142052
10.Vật lí HK II,0.024852918236785017,0.009784911948780482
10.Ngoại ngữ HK I,0.024223638144747282,0.009847505581260869
11.Văn HK I,0.022780577539327142,0.006543351555562677
12.Văn HK I,0.022244592762693572,0.005485751443272825
10.Lịch sử HK I,0.02212107622851569,0.0034001687662304036
11.Ngoại ngữ HK II,0.021137752615727833,0.0030471840432436744
12.Hóa học HK I,0.020171046283555684,0.009732448931329437
10.Địa lí HK I,0.020071276039615428,0.004837759033768397
11.Sinh học HK I,0.020008479819398416,0.004096475181552509
12.Ngoại ngữ HK I,0.01928773523345164,0.01082411817278634
11.Ngoại ngữ CN,0.01886633246250291,0.004889643838937172
kv_KV3,0.01855300189032043,0.005019981973717661
11.Hóa học HK II,0.01836678410798882,0.007624921260076656
10.Điểm tổng kết HK II,0.018241538174202532,0.004807252512912045
12.Văn HK II,0.01802307847068114,0.0062427680839685085
12.Lịch sử HK II,0.017562027029418913,0.005452953348838106
12.Lịch sử HK I,0.017339693830311375,0.006119136680486437
12.Vật lí HK I,0.016982212292655775,0.0028935806222405384
10.Vật lí CN,0.016580247646887612,0.007896833388425267
11.Sinh học CN,0.016576916040422062,0.0031339215540844008
12.Văn CN,0.01649879052346037,0.0033298661410941155
12.Điểm tổng kết CN,0.01541426215208368,0.004080793510627644
11.Văn HK II,0.015337871612945619,0.0036136218864441685
10.Địa lí HK II,0.014310785367417367,0.003046613490113928
10.Vật lí HK I,0.014048806267950553,0.002164925753353452
11.Vật lí HK II,0.013455870206894715,0.005684850295721465
12.Sinh học HK I,0.013401174463808018,0.004682886040340525
12.Toán HK II,0.013049088668881836,0.008383706842616032
10.GDCD HK II,0.013048809542186035,0.006260559553878245
12.Địa lí HK I,0.012540969577726458,0.00464342591347337
11.Sinh học HK II,0.012451575433284035,0.003924394730612785
11.Điểm tổng kết HK II,0.0121097407445788,0.0024980396052740965
10.Văn HK II,0.012016680178673411,0.004896692694705185
12.Địa lí HK II,0.012004793975352613,0.003147455310596818
12.Lịch sử CN,0.011358125766616212,0.0031871658635745266
10.Toán HK I,0.010327086481901305,0.004435016983485058
12.Địa lí CN,0.010033769298507522,0.0023969838940092972
10.Hóa học CN,0.009965225153524316,0.0018571395488791804
11.GDCD HK I,0.009920343580301961,0.005039928646166351
11.Lịch sử HK I,0.009857757249910648,0.00279789099806936
10.Điểm tổng kết HK I,0.00958741033487378,0.00691515502886954
12.Vật lí CN,0.009048872317402612,0.0023238275708797407
12.Vật lí HK II,0.008963668358727616,0.0047944320407045495
12.Sinh học HK II,0.008893833650348881,0.005411075092553502
11.Hóa học CN,0.008706957970182571,0.006095957403220544
10.Học lực HK I,0.00857113337445341,0.0023994841296458313
11.Địa lí HK I,0.007611439639189754,0.0065061132338551176
kv_KV2,0.007413107073061554,0.0019973381543899322
11.GDCD HK II,0.007290580612486153,0.0023023362863661295
11.Lịch sử CN,0.00724408924262967,0.0026800247445986723
12.Ngoại ngữ CN,0.006887502017972125,0.002645461809986955
10.Lịch sử HK II,0.0067209162343065286,0.0034374080205198205
11.Lịch sử HK II,0.006626335232388314,0.0054241624996514744
10.Học lực CN,0.006498993083415528,0.0020121835325128093
11.Toán HK II,0.006288618702561521,0.0023128093282358225
11.Văn CN,0.006162966481068821,0.004885901818545811
12.GDCD HK II,0.006081521285545577,0.0028313029612705735
10.GDCD CN,0.005581759219343141,0.001412973613378931
10.Điểm tổng kết CN,0.005019494144005066,0.0022490298717034677
10.Sinh học HK II,0.004292305632306181,0.003272432377366126
12.GDCD HK I,0.003932633071135427,0.006581087939048613
10.Sinh học CN,0.003801168088839546,0.002052546395200753
12.GDCD CN,0.0035612178573568797,0.0042258085890557505
12.Sinh học CN,0.0035435068509130476,0.004964745219033084
10.Địa lí CN,0.0020383132459542708,0.006278189460610832
10.Lịch sử CN,0.0019574950785028024,0.0013866646042714646
11.Hạnh kiểm HK I,0.0018870157782203024,0.0018021538292355868
12.Hóa học CN,0.0013682012262410837,0.004224993485889925
11.GDCD CN,0.001106266347358087,0.005685755129623003
10.Toán HK II,0.0010094630955681083,0.005547681561293556
11.Học lực HK I,0.000881023041270268,0.0003639880137888504
10.Văn CN,0.0008224662030361429,0.004484992473384787
10.Học lực HK II,0.0005988103259216615,0.00027604382870145426
11.Địa lí HK II,0.0005673181788743876,0.0020661433712391665
11.Học lực CN,0.0003914510533284954,0.0011209241317927771
12.Hạnh kiểm HK I,0.0003889770680757465,0.0021566440611521004
12.Học lực HK I,0.00036689685597863787,0.0001563611482300558
11.Học lực HK II,0.0002003043058376619,0.0002489760591380679
10.Hạnh kiểm HK II,0.00018230588136169956,0.00026669239216669497
11.Điểm tổng kết CN,0.00013632456948684535,0.002643388123438234
12.Hạnh kiểm HK II,5.399517630628736e-05,1.4046060086059242e-05
11.Hạnh kiểm HK II,-0.0001259367367907771,0.0003149459988207589
10.Hạnh kiểm CN,-0.0002477827631736318,0.0003870893360119306
12.Học lực CN,-0.0002663072417611545,0.0002260556441371166
12.Hạnh kiểm CN,-0.0003393951646469162,0.0005709419392054576
11.Địa lí CN,-0.000378326028611653,0.003134223912965874
11.Hạnh kiểm CN,-0.0010304498462957667,0.000930377007352036
11.Toán HK I,-0.0013838867238423092,0.004532095150258213
12.Học lực HK II,-0.0015171666219643497,0.0006665171419877388
11.Vật lí HK I,-0.0016309788674796267,0.006237215812795763
10.Hạnh kiểm HK I,-0.0020564859052822015,0.00160807857325814
